first_seen,last_seen,device_class,vendor,product,vid,pid,interfaces,actions,flagged
2016-03-15 07:08:52,2016-08-08 11:09:59,SWD,,,,,,Delete Device|Device Install (Hardware initiated),
2016-03-15 07:10:11,2016-10-30 19:04:07,SWD,,,,,,Delete Device|Device Install (Hardware initiated),
2016-03-15 07:35:38,2016-03-15 07:35:38,SWD,,,,,,Delete Device,
2016-03-16 12:08:26,2016-06-26 01:47:13,PCI,11AB,,,,,Restart Device,
2016-03-16 22:31:58,2016-03-16 22:31:58,{7F1C1A78-7144-B943-9D98-78E630232A05},,,,,,Device Install (Install Windows Update drivers),
2016-03-17 03:39:55,2016-03-17 03:39:55,PCI,8086,,,,,Device Install (Hardware initiated),
2016-04-03 09:26:33,2016-04-03 09:26:33,SWD,,,,,,Device Install (Hardware initiated),
2016-04-03 09:26:40,2016-04-03 09:26:40,SWD,,,,,,Device Install (Hardware initiated),
2016-04-08 17:53:26,2016-04-08 17:53:26,SWD,,,,,,Delete Device,
2016-04-22 07:12:00,2016-04-22 07:12:00,SW,,,,,,Delete Device,
2016-04-22 07:12:00,2016-04-22 07:12:00,SW,,,,,,Delete Device,
2016-04-22 07:12:00,2016-04-22 07:12:00,{5D624F94-8850-40C3-A3FA-A4FD2080BAF3},,,,,,Delete Device,
2016-04-22 07:12:01,2016-04-22 07:12:01,DISPLAY,,,,,,Delete Device,
2016-04-22 07:12:01,2016-04-22 07:12:01,SW,,,,,,Delete Device,
2016-04-22 07:12:01,2016-04-22 07:12:01,SW,,,,,,Delete Device,
2016-04-22 07:12:01,2016-06-28 19:37:13,SW,,,,,,Delete Device|Device Install (Hardware initiated),
2016-04-22 07:12:01,2016-04-22 07:12:01,SW,,,,,,Delete Device,
2016-04-25 08:18:46,2016-04-25 08:18:46,SWD,,,,,,Delete Device,
2016-04-30 13:07:28,2016-06-28 19:37:14,USBSTOR,Flash,DriveUT_USB20,,,,Delete Device|Device Install (Hardware initiated),
2016-05-08 12:39:04,2016-05-08 12:39:04,SWD,,,,,,Delete Device,
2016-05-12 09:08:06,2016-06-28 19:37:12,USBSTOR,,,,,,Delete Device|Device Install (Hardware initiated),
2016-05-12 15:07:54,2016-08-08 11:09:59,SWD,,,,,,Delete Device,
2016-05-12 17:05:46,2016-06-28 19:37:14,SWD,,,,,,Delete Device|Device Install (Hardware initiated),
2016-05-12 17:05:46,2016-06-28 19:37:13,SWD,,,,,,Delete Device|Device Install (Hardware initiated),
2016-05-12 17:05:46,2016-06-28 19:37:12,SWD,,,,,,Delete Device|Device Install (Hardware initiated),
2016-05-12 17:05:46,2016-06-28 19:37:13,SWD,,,,,,Delete Device|Device Install (Hardware initiated),
2016-05-13 15:15:03,2016-06-28 19:37:13,USBSTOR,FLASH,Drive_SM_USB20,,,,Delete Device|Device Install (Hardware initiated),
2016-05-14 12:41:40,2016-11-04 09:42:17,SWD,,,,,,Delete Device|Device Install (Hardware initiated),
2016-05-16 14:36:58,2016-08-08 11:09:59,SWD,,,,,,Delete Device,
2016-05-19 06:39:42,2016-08-08 11:09:59,SWD,,,,,,Delete Device,
2016-05-23 19:46:12,2016-05-23 19:46:12,SWD,,,,,,Delete Device,
2016-05-28 15:33:55,2016-08-08 11:09:59,SWD,,,,,,Delete Device,
2016-05-28 15:33:55,2016-08-08 11:09:59,SWD,,,,,,Delete Device,
2016-06-04 12:24:19,2016-06-04 12:24:19,SWD,,,,,,Delete Device,
2016-06-05 06:28:39,2016-11-04 09:42:16,USBSTOR,IS917,innostor,,,,Delete Device|Device Install (Hardware initiated),
2016-06-15 08:16:59,2016-06-15 08:16:59,SWD,,,,,,Delete Device,
2016-06-17 06:43:47,2016-11-04 09:42:11,USB,,,05ac,12a8,00,Delete Device|Device Install (Hardware initiated),
2016-06-17 17:09:41,2016-11-04 09:42:16,SWD,,,,,,Delete Device|Device Install (Hardware initiated),
2016-06-17 17:11:18,2016-11-04 09:41:53,SWD,,,,,,Delete Device|Device Install (DiInstallDevice),
2016-06-18 16:17:41,2016-11-04 09:42:09,USBSTOR,ATMEL,Ducky_Storage,,,,Delete Device|Device Install (Hardware initiated),
2016-06-21 06:44:52,2016-06-21 06:44:52,SWD,,,,,,Delete Device,
2016-06-28 19:37:10,2016-06-28 19:37:10,STORAGE,,,,,,Delete Device,
2016-06-28 19:37:11,2016-06-28 19:37:11,STORAGE,,,,,,Delete Device,
2016-06-28 19:37:11,2016-06-28 19:37:11,STORAGE,,,,,,Delete Device,
2016-06-28 19:37:11,2016-06-28 19:37:11,STORAGE,,,,,,Delete Device,
2016-06-28 19:37:11,2016-06-28 19:37:11,STORAGE,,,,,,Delete Device,
2016-06-28 19:37:11,2016-06-28 19:37:11,STORAGE,,,,,,Delete Device,
2016-06-28 19:37:11,2016-06-28 19:37:11,SWD,,,,,,Delete Device,
2016-06-28 19:37:11,2016-06-28 19:37:11,USB,,,1f75,0903,,Delete Device,
2016-06-28 19:37:12,2016-06-28 19:37:12,USBSTOR,,,,,,Delete Device,
2016-06-28 19:37:12,2016-06-28 19:37:12,STORAGE,,,,,,Delete Device,
2016-06-28 19:37:12,2016-06-28 19:37:12,USB,,,1e91,a0a9,,Delete Device,
2016-06-28 19:37:13,2016-06-28 19:37:13,STORAGE,,,,,,Delete Device,
2016-06-28 19:37:13,2016-06-28 19:37:13,STORAGE,,,,,,Delete Device,
2016-06-28 19:37:13,2016-06-28 19:37:13,USBSTOR,,,,,,Delete Device,
2016-06-28 19:37:13,2016-06-28 19:37:13,USBSTOR,OWC,EXPRESS_USB_3.0,,,,Delete Device,
2016-06-28 19:37:13,2016-06-28 19:37:13,USB,,,0457,0151,,Delete Device,
2016-06-28 19:37:13,2016-11-04 09:42:09,USB,,,090c,1000,,Delete Device,
2016-06-28 19:37:14,2016-06-28 19:37:14,STORAGE,,,,,,Delete Device,
2016-06-29 21:50:59,2016-11-04 09:42:10,USBSTOR,SanDisk,Cruzer,,,,Delete Device|Device Install (Hardware initiated),
2016-07-01 21:29:37,2016-11-04 09:42:07,USB,,,0b95,1790,,Delete Device|Device Install (DiInstallDevice)|Device Install (Hardware initiated),
2016-07-01 21:58:05,2016-11-04 09:42:08,SWD,,,,,,Delete Device|Device Install (Hardware initiated),
2016-07-01 21:58:12,2016-11-04 09:41:43,USBSTOR,WD,SES_DEVICE,,,,Delete Device|Device Install (DiInstallDevice),
2016-07-02 18:22:19,2016-11-04 09:42:16,USBSTOR,PNY,USB_3.0_FD,,,,Delete Device|Device Install (Hardware initiated),
2016-08-04 17:35:15,2016-11-04 09:42:11,USBSTOR,SanDisk,Cruzer_Blade,,,,Delete Device|Device Install (Hardware initiated),
2016-08-04 17:41:34,2016-11-04 09:42:06,SWD,,,,,,Delete Device|Device Install (Hardware initiated),
2016-08-08 11:09:59,2016-08-08 11:09:59,SWD,,,,,,Delete Device,
2016-08-08 11:09:59,2016-08-08 11:09:59,SWD,,,,,,Delete Device,
2016-08-08 11:09:59,2016-08-08 11:09:59,SWD,,,,,,Delete Device,
2016-10-30 19:04:27,2016-10-30 19:04:27,USBSTOR,Generic,Flash_Disk,,,,Device Install (Hardware initiated),
2016-11-03 10:13:02,2016-11-03 10:13:02,SWD,,,,,,Delete Device,
2016-11-04 09:39:25,2016-11-04 09:39:25,SWD,,,,,,Delete Device,
2016-11-04 09:41:43,2016-11-04 09:41:43,STORAGE,,,,,,Delete Device,
2016-11-04 09:41:43,2016-11-04 09:42:16,HID+USB,,,05ac,024f,00|01,Delete Device,
2016-11-04 09:41:43,2016-11-04 09:42:16,HID+USB,,,1c4f,0034,,Delete Device,
2016-11-04 09:41:43,2016-11-04 09:41:43,USB,,,1f75,0917,,Delete Device,
2016-11-04 09:41:43,2016-11-04 09:41:43,USB,,,7825,a0a4,,Delete Device,
2016-11-04 09:41:44,2016-11-04 09:41:44,USBSTOR,WIBU_-,CODEMETER-STICK,,,,Delete Device,
2016-11-04 09:42:02,2016-11-04 09:42:02,TERMINPUT_BUS,,,,,,Delete Device,
2016-11-04 09:42:03,2016-11-04 09:42:03,SWD,,,,,,Delete Device,
2016-11-04 09:42:05,2016-11-04 09:42:05,SWD,,,,,,Delete Device,
2016-11-04 09:42:05,2016-11-04 09:42:05,USB,,,0000,0002,,Delete Device,
2016-11-04 09:42:05,2016-11-04 09:42:05,USB,,,064f,03e9,,Delete Device,
2016-11-04 09:42:06,2016-11-04 09:42:06,TERMINPUT_BUS,,,,,,Delete Device,
2016-11-04 09:42:06,2016-11-04 09:42:06,USB,,,0781,5567,,Delete Device,
2016-11-04 09:42:06,2016-11-04 09:42:06,USB,,,174c,55aa,,Delete Device,
2016-11-04 09:42:06,2016-11-04 09:42:06,USB,,,2109,0812,,Delete Device,
2016-11-04 09:42:07,2016-11-04 09:42:07,DISPLAY,,,,,,Delete Device,
2016-11-04 09:42:07,2016-11-04 09:42:07,STORAGE,,,,,,Delete Device,
2016-11-04 09:42:07,2016-11-04 09:42:07,STORAGE,,,,,,Delete Device,
2016-11-04 09:42:07,2016-11-04 09:42:07,SWD,,,,,,Delete Device,
2016-11-04 09:42:07,2016-11-04 09:42:07,SWD,,,,,,Delete Device,
2016-11-04 09:42:07,2016-11-04 09:42:07,USBSTOR,WD,MY_PASSPORT_0730,,,,Delete Device,
2016-11-04 09:42:08,2016-11-04 09:42:08,STORAGE,,,,,,Delete Device,
2016-11-04 09:42:08,2016-11-04 09:42:08,STORAGE,,,,,,Delete Device,
2016-11-04 09:42:08,2016-11-04 09:42:08,SWD,,,,,,Delete Device,
2016-11-04 09:42:08,2016-11-04 09:42:08,SWD,,,,,,Delete Device,
2016-11-04 09:42:08,2016-11-04 09:42:09,HID+USB,,,03eb,2422,00|01,Delete Device,
2016-11-04 09:42:08,2016-11-04 09:42:08,USB,,,05e3,0606,,Delete Device,
2016-11-04 09:42:08,2016-11-04 09:42:08,USB,,,0781,5530,,Delete Device,
2016-11-04 09:42:09,2016-11-04 09:42:09,STORAGE,,,,,,Delete Device,
2016-11-04 09:42:09,2016-11-04 09:42:09,SWD,,,,,,Delete Device,
2016-11-04 09:42:09,2016-11-04 09:42:09,USB,,,0000,0001,,Delete Device,
2016-11-04 09:42:09,2016-11-04 09:42:09,USB,,,1058,0730,,Delete Device,
2016-11-04 09:42:09,2016-11-04 09:42:09,USB,,,154b,00d9,,Delete Device,
2016-11-04 09:42:09,2016-11-04 09:42:09,USB,,,2109,2812,,Delete Device,
2016-11-04 09:42:10,2016-11-04 09:42:10,SCSI,ASMT,2105,,,,Delete Device,
2016-11-04 09:42:11,2016-11-04 09:42:11,HTREE,,,,,,Delete Device,
2016-11-04 09:42:11,2016-11-04 09:42:11,SWD,,,,,,Delete Device,
2016-11-04 09:42:11,2016-11-04 09:42:11,SWD,,,,,,Delete Device,
2016-11-04 09:42:11,2016-11-04 09:42:11,USB,,,0000,0004,,Delete Device,
2016-11-04 09:42:16,2016-11-04 09:42:16,STORAGE,,,,,,Delete Device,
2016-11-04 09:42:16,2016-11-04 09:42:16,STORAGE,,,,,,Delete Device,
2016-11-04 09:42:17,2016-11-04 09:42:17,USB,,,05ac,1006,,Delete Device,
2016-11-04 13:45:04,2016-11-04 13:45:04,USBSTOR,Verbatim,STORE_N_GO,,,,Device Install (Hardware initiated),
